Unnamed: 0,text,tweets
10,"Based on the Christmas at Blenheim Palace capacities and the managed ticket times, we understand that there will not be a requirement to implement the COVID passport onsite. We will recommend that guests undertake a lateral flow test prior to their visit.",based christmas blenheim palace capacities managed ticket times understand requirement implement passport recommend guests undertake lateral flow test prior visit
11,"Helping the animals brought the volunteers satisfaction and complacence, as well as fame in the community, says the founder and president of JU-based DESRF
#COVID19 #Dhaka #Animals https://t.co/GxA6cGiO4b",helping animals brought volunteers satisfaction complacence fame community founder president
12,"Los Angeles school district just fired nearly 500 employees (nearly all classified not teachers) for not being covid vaccinated. About 38,000 students not vaccinated will have to do independent studies. Who thinks the nation should follow their lead? First priority is safety.",school district fired nearly 500 employees nearly classified teachers vaccinated students vaccinated independent studies nation follow lead priority safety
13,"80% of the Year 2 team now either have Covid or a partner who does.

Squeaky bum time.",80 2 team partner squeaky bum time
14,"6. Kenya – $106.04-billion
Considered one of Africa’s fastest-growing economies,Kenya maintains its spot on the list from last year after being battered by the COVID-19 pandemic,which cost the country over 700,000 jobs and forced it into its first economic recession since 1992. https://t.co/dlaJkhttWf",6 kenya billion considered africa economies kenya maintains spot list battered pandemic cost country jobs forced economic recession
15,"A further 633 cases of the Omicron variant of Covid-19 have been confirmed in the UK, taking the total to 1,898.",omicron variant confirmed uk taking total
16,"From what I'm hearing, the NHS is now letting people over 30 book their COVID boosters. I've booked mine for Monday but I have reports of it not working for people in their 20s.",hearing nhs letting people 30 book boosters booked mine monday reports people 20s
17,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works.",florida positivity rate mask vaccine mandates live life congregate trust immune systems
18,"30th Yaad-E-Murshid Shah Satnam Singh Ji Maharaj, Free Mega Eye Camp will be held adhering to COVID-19 guidelines at #DeraSachaSauda, Sirsa. Registration will start on 10th December &amp; screening on 12th December. Super-specialist doctors will provide their services for #free. https://t.co/2bxIyGiTBL",30th shah ji free eye camp held adhering guidelines registration start 10th december amp screening 12th december doctors provide services
19,"Oh no. Please stop this. 
1. The Covid-19 virus is airborne.
2. Singing generates aerosols.
3. Children are unvaccinated (or, at best, incompletely vaccinated).
4. Care home residents are vulnerable.
5. The highly-transmissible Omicron variant of Covid-19 is rife in UK. https://t.co/Lpt2Wc6pY3",oh please stop 1 virus airborne 2 singing generates aerosols 3 children unvaccinated incompletely vaccinated 4 care home residents vulnerable 5 omicron variant rife uk
20,"Covid proved this beyond doubt:

""Some ideas are so stupid that only intellectuals believe them.""
—George Orwell",proved beyond doubt ideas stupid intellectuals believe george orwell
21,"For anyone dealing with Covid or the flu right now, pls buy a facial steamer and get eucalyptus oil to use with it!
It really helps clear your sinuses and eases your breathing if you find it difficult. Pls RT",dealing flu buy facial steamer eucalyptus oil helps sinuses eases breathing difficult
22,Using child sex trafficking to downplay the risks of children dying from COVID https://t.co/IOz0glQsX0 02,using child sex trafficking downplay risks children dying
23,@MightyMagyar @NeilClark66 @JimBeavisRacing @WhiteOwlBooks @bristolpostcom @CheltenhamRaces Love your work on Covid - but any chance you could open up a different account for your horse racing stuff as I and probably most people that follow could not give a .... about horse racing?,love chance account horse racing stuff probably people follow horse racing
24,@CreativeDeduct This is an old argument. There is no way people people at risk can isolate themselves effectively when covid is so widespread. Just one of many examples is people living In multigenerational households.,argument people people risk isolate effectively widespread examples people living households
25,"The very same hunt whose leading huntsman was found GUILTY of his dogs being dangerously out of control for killing a family's beloved cat - were awarded £10,000+ from taxpayer funded small business covid grant last year. 

RT if you agree they should give every penny back",hunt leading huntsman found guilty dogs dangerously control killing family beloved cat awarded taxpayer funded business grant agree penny
26,"“We can’t go on like this. This can’t be how a country like ours is governed,” writes Steve Baker MP on Covid restrictions.

https://t.co/hahMf1fymK",ca ca country governed writes baker mp restrictions
27,"My grandson is in South Korea where they are very smart with Covid. They are doing another lockdown to get itunder control.   
In the U.S. we just wear our healthcare workers down and let the number continue to rise and people die because our economy is more important than lives.",grandson south korea smart doing lockdown control wear healthcare workers continue rise people die economy lives
28,"@whyamisoleng pls if you want to know how you can DM me🤍
Just take what I said n’ stop jumping on the bandwagon of hating on people who don’t want to take the Covid vaccine. (I’m not saying you do this is just in case). Doctors and nurses who have left their jobs of 10+ years KNOW what they-",dm stop jumping bandwagon hating people vaccine saying doctors nurses left jobs 10
29,"#Byo Citizen 10 December 2021 Issue
* Diarrhoea Outbreak in Byo
* Covid 19 hits Bulawayo Hospital
* Dry Spell hits Matabeleland
* MDC Alliance accuses Mwonzora of corruption https://t.co/o4inLPs71P",citizen 10 december issue diarrhoea outbreak 19 hits bulawayo hospital dry spell hits alliance accuses corruption
30,This is by far the funniest response to covid I have seen https://t.co/mVRxJC0Z21,funniest response seen
31,"@RamCinemas Remember it 

Master saves you at pandemic COVID period , i will accept it 

But #Karnan saves you from Master😊. 

So.... 

"" GLOBAL STAR DHANUSH ""
#Maaran #AtrangiRe https://t.co/Zucf71M9WV",remember master saves pandemic period accept saves master global star
32,this nancy reagan shit is the happiest i’ve been on twitter since trump got covid,nancy reagan shit happiest twitter trump
33,"jinsoul saying they've had world tour plans since last year but bc of covid,,, they can't :((
https://t.co/EfNve4n7Db",saying world tour plans bc ca
34,"Coronavirus cases in India are expected to rise by early next year following the experience of #Israel and the #UK with the #Omicron variant, experts said at an online discussion organised by the Ashoka University, Sonepat, Haryana.
https://t.co/msGWg4Dike",india expected rise following experience variant experts online discussion organised university
35,@jawsfan508 @espressodrinker @Minderbinder12 @vicderbyshire Your immune system has been introduced to the virus. Unless it morphs into something at a greater difference than 40% then you’re unlikely to get it again. If you did it would be mild. Pre 2020 that’s how it works for everything. Covid no exception. Beware experts needing funding,immune system introduced virus morphs difference 40 unlikely mild exception beware experts funding
36,Queuing system at Arsenal is a disgrace. Nothing to do with Covid at all.,queuing system arsenal disgrace
37,"A good friend of mine for 20+ yrs  died from covid last week. He was 72, fully vaccinated, no underlying conditions &amp; strong as a horse. When I now hear someone claim that the covid crisis is “fake news, I find I have a very non-pacifist desire that I must suppress.",friend mine 20 yrs died week 72 vaccinated underlying conditions amp strong horse hear claim crisis fake news desire suppress
38,My throat is sore and I've been sneezing like crazy. My head is filled with congestion. What do you want to bet that if I were to go for a covid test it would be positive for my head cold?,throat sore sneezing crazy head filled congestion bet test positive head cold
39,The business of being a business coach has changed dramatically. How can you grow your consulting practice in the midst of Covid-19? Listen here https://t.co/zK8rprDsFw for three action items you can use today. #business #consultant,business business coach changed dramatically grow consulting practice midst listen action items
40,@DailyMailUK Had one pfizer had a heart issue afterwards. Had Astra Zeneca as my second.  I will not have another Pfizer or moderna I’d rather take my chance with covid .  Why didn’t we approve a whole virus vaccine rather one that just looks at the spike proteien,heart issue afterwards chance approve virus vaccine looks spike
41,"No Accountabilty
No Defending Elections
No Fewer COVID Deaths
No Future for Democracy
No Fight for Court Expansion
No Raise in Min Wage
No Discussion of Rising Fascism
No Problem Working With Seditionists
No F's Given for Reality https://t.co/DgddIE9oxY",defending elections fewer deaths future democracy fight court expansion raise min wage discussion rising fascism reality
42,I miss festivals like fucking shiiiiittttt I can’t believe I used to full send to three day festivals at least once a month before Covid that was when I had the most serotonin,miss festivals fucking ca believe send day festivals month serotonin
43,"...and we still have Americans shrugging off COVID as no big deal. Maybe a startling response like ""You must think we don't need a WWII memorial, then, because less than 3% of our soldiers died"" would cure these sociopaths of their damnable apathy about mass death on this scale. https://t.co/cFPZxxWmSX",americans shrugging deal maybe startling response memorial 3 soldiers died cure sociopaths damnable apathy mass death scale
44,"Tory MPs voting against Covid Plan B “to protect civil liberties”, when this week they voted to give the government powers to strip almost 6 million Brits of their citizenship without notice or notification.

Maybe, just maybe, they don’t really care about civil liberties.",tory mps voting plan protect civil liberties week voted government powers strip 6 million brits citizenship notice notification maybe maybe care civil liberties
46,"@ShakeTheCensor Sorry I'm not more helpful.

However, for me and my family, it was a wise choice (so far) to allow COVID to spread in our home at the end of 2020 when our little came home w/it with careful attention to ventilation and supplementation, and to avoid the vax when it was available.",sorry helpful family wise choice allow spread home little home careful attention ventilation supplementation avoid available
47,"⚠️Time for VE data—2 shot vaccine effectiveness against symptomatic #Omicron is not good. 🇬🇧data says 2 doses isn’t strong—Pfizer 2 dose VE for 15+ weeks is 34-36%; AstraZeneca 2 doses VE after 25 weeks is just 5.9%. Pfizer booster yields 71-76%.🧵#COVID19
https://t.co/GnXNmMqV0u https://t.co/WuQeBg7PCt",time data 2 shot vaccine effectiveness symptomatic data 2 doses strong 2 dose 15 weeks 2 doses 25 weeks booster yields
49,"Omicron Covid wave could be worse than last winter without new lockdown, top UK scientists warn #SmartNews  https://t.co/vVHzuDElyR",omicron wave worse winter lockdown top uk scientists warn
50,"Viral Immunologist, Dr. Byram Bridle, PhD, debunks the narrative that masks protect people from Covid, as he indisputably shows aerosols penetrating 5 surgical masks.

Full video link: https://t.co/bq50SNJZTP https://t.co/jjBUPlLzqY",viral immunologist bridle phd debunks narrative masks protect people aerosols penetrating 5 surgical masks video link
51,"Not getting vaccinated is a choice. 

Imagine tho if a doctor had a choice not to treat you if you contracted covid…",getting vaccinated choice imagine tho doctor choice treat contracted
52,"When will Covid Vax 2.0 be released? Don’t mean booster identical to first two. I mean new improved vax that lasts longer than 6 mths, better at preventing infection, targeted at Delta, fewer side effects in young men. Is pharma even working on it? Are client govts even asking?",released mean booster identical mean improved lasts 6 preventing infection targeted delta fewer effects pharma client
53,"GOP Senate Hopeful Unleashes Fresh COVID Hell in Missouri

36% vaxx rate

Health departments in at least six counties—“forced to cease all COVID-19 related work” after Schmitt’s letter: case investigation, contact tracing, quarantine orders, https://t.co/YUBQwq7NHX",gop senate hopeful unleashes fresh hell missouri 36 rate health departments six counties forced cease related letter investigation contact tracing quarantine
54,"Covid death rate plunges to lowest-ever in South Africa, as the very mild variant now accounts for 90% of cases there. 

Wowser. It's over.... https://t.co/fCbfs7uyln",death rate plunges south africa mild variant accounts 90
55,"@thedailybeast this article looks interesting but not so interesting I’d go through registration process. Please consider @axate for getting per article payments.

https://t.co/wZDaWcaDzX",article looks registration process please consider getting article payments
56,"It's happening.

A court in Belgium ruled that the covid passports were illegal.",happening court belgium ruled passports illegal
57,Debor habis nak buat covid test.. first timer,test timer
58,@B52Malmet @joncoopertweets We all knew Individual-1 flouted the covid safety precautions.  Anyone who came close to him was well aware of the risks.,flouted safety precautions close aware risks
59,"People don’t need masks in shops if they are singing, new Covid rules say ~ Johnson's Taking The Fucking Piss! 
https://t.co/p2CjjKkAA3

Download Now
https://t.co/5gSYXtckU1",people masks shops singing rules taking fucking piss download
60,@Itswayoverthere @fact_covid Nonsense. And I won't comply even if there is.,nonsense comply
61,"Morano: Don't be surprised when the climate agenda is successful in taking away private car ownership and use. They have literally been talking about this since the 1970s and now with the success of COVID lockdowns, they see a real possibility of success.",surprised climate agenda successful taking private car ownership literally talking 1970s success lockdowns real possibility success
62,"Most of the 43 COVID-19 cases caused by the Omicron variant identified in the United States so far were in people who were fully vaccinated, and a third of them had received a booster dose, according to a U.S. report published on Friday. #prikspijt

https://t.co/sc4ZToK1oc",43 caused omicron variant identified united people vaccinated third received booster dose according report published friday
63,"@FurnessColin COVID is now the #1 natural cause of death for children in the United States

That's what ""normalizing COVID in schools"" looks like https://t.co/j8E1Bvaze3",natural cause death children united normalizing schools looks
65,formal?? is it numbers and proximity or gold leaf invites and well written RSVPs that spread covid?? https://t.co/gdCuxNf31r,formal proximity gold leaf invites written spread
66,"@Arcane_Tiger Would be nice if we could get this under control sometime soon, but so many people are now both scientists and conspiracy theorists that they won't get the vaccine. I'm sure we all know plenty of people who've died of covid by now so what's the deal",nice control sometime soon people scientists conspiracy theorists vaccine plenty people died deal
67,"The amount of abuse scientists and doctors get for simply stating the facts about Covid-19 and the pandemic is unreal

Our jobs is only to analyse and give information based on data, or to treat those who are sick

We do not decide policy or rules, that’s for elected officials",amount abuse scientists doctors simply stating pandemic unreal jobs analyse information based data treat sick decide policy rules elected officials
68,"If you love Ghana, please don’t help anyone acquire a fake covid passport to enter this country when they haven’t vaccinated….",love ghana please help acquire fake passport enter country vaccinated
69,State officials urge you to get vaccinated amid ‘critical’ COVID-19 surge | https://t.co/9HKfT151qK https://t.co/kCrPxvgMVY,officials urge vaccinated critical surge
70,Does it make you less likely to get COVID-19 if you’ve been working long hours? https://t.co/SxVkIYeEyc,hours
71,"I've tested positive for COVID I'm afraid.
Not sure how this will effect content over the next while but health has to come first.

More details below.
TLDR - I'm feeling okay and still capable of making bad jokes. https://t.co/Ieh8GYqYST",tested positive afraid effect content health details below feeling okay capable bad jokes
72,"I find many of the replies to this really shocking.  People DO die of Covid and one of these boys was quite overweight from pictures I've seen which would have been a major risk factor, regardless of age.  I'm unvaccinated but I don't deny that Covid kills some people. https://t.co/M7uKfuRFEB",replies shocking people die boys overweight pictures seen major risk factor regardless age unvaccinated deny kills people
73,"@maosbot having systems and processes in place for coping with COVID without going into lockdowns and without overwhelming the NHS. good vaccination strategies incl boosters, quick approval of new vacs for mutations, antiviral drugs, test &amp; trace systems, monitoring spread and mutstions",systems processes coping lockdowns overwhelming nhs vaccination strategies boosters quick approval vacs mutations antiviral drugs test amp trace systems monitoring spread
74,"#COVID19 resurgence forecast for #Canada, worse if #Omicron replaces #Delta: @CPHO_Canada | @cp24toronto2
https://t.co/vjNXnyXht8",resurgence forecast worse replaces
76,"If you refuse the COVID vaccine because you ""don't know what is in it"" and are concerned about ""long-term effects"", then you should not:
- smoke
- consume alcohol
- eat processed food
- get any RX and OTC drug that has side-effects
- use recreational drugs

Am I right?",refuse vaccine concerned long-term effects smoke consume alcohol eat processed food otc drug recreational drugs am
77,"Tottenham are having a game shifted cos half the team is down with COVID. Almost all vaxxed. The NBA too. Everyone is catching COVID, you just highlight the unvaxxed ones and want them punished cos they dared disobey ""the science"". Continue twisting yourself to support rubbish https://t.co/T5DXF2U2H8",game shifted cos half team catching highlight ones punished cos dared disobey science continue twisting support rubbish
78,"To stop the spread of COVID-19, thousands of people were released from prison back into families and communities. Now, in a cruel twist, they face the possibility of being re-incarcerated. Tell President Biden to commute these sentences and #FreeThemAll!.  https://t.co/DjLztmeDHH",stop spread thousands people released prison families communities cruel twist possibility tell president commute sentences
79,"Tag @BorisJohnson (&amp; your MP) to get them to read some evidence as he has forgotten to FOLLOW THE DATA.

◾️ Pressure of Covid on NHS down

◾️ Countries with vaccine passports cases risen

◾️ No difference in rates between UK countries with Plan B already

https://t.co/T5JtEErG8e",tag amp mp read evidence forgotten follow data pressure nhs countries vaccine passports risen difference rates uk countries plan
80,"I’ve stopped arguing with anyone about Covid. All I can do is make sure my own family gets the shots and takes the precautions needed to hopefully keep us safe, while a large chunk of the country just doesn’t give a shit.",stopped arguing own family shots takes precautions hopefully safe chunk country shit
81,"Hey y'all! I'm Kathleen Brown, running for Congress in TX-13 against Rep. Ronny Jackson, Donald Trump's former doctor and a COVID denier.

I'm at 11,600 followers &amp; my team says I need 15,000 by  the weekend. 

Can you help? Please follow and RT!♥️

Let's turn Texas blue in '22!",brown running congress rep jackson trump former doctor denier followers amp team weekend help please follow texas blue
82,"How many Children died from Covid in South Africa? Give us traceable figures before you stick any further needles in our children... Why is it so difficult to stop this when kids were least affected by any ""varient""? You just following orders @CyrilRamaphosa
#RamaphosaMustFall",children died south africa traceable figures stick needles children difficult stop kids affected following
85,"As Omicron Hits U.K., Scientists Say Vaccines Provide Reduced Protection https://t.co/IgvTWiM55K",omicron hits scientists vaccines provide reduced protection
86,"@LizaMaria5D @jordanbpeterson Hahaha
Covid gene therapies are not vaccines.",gene therapies vaccines
88,Chris Christie says undeniable that Trump gave him Covid. Remember when Trump called him in hospital?  Concern? Best wishes? Get well?  Nah. He told him not to tell people he gave it to him. Other than horror movies I never believed in the anti Christ. Trump has changed my mind.,christie undeniable trump remember trump called hospital concern wishes told tell people horror movies believed anti christ trump changed mind
89,"🗣 Christian Wakeford: ‘The new restrictions are conflicting and damaging. I cannot support Plan B.’

🗣 Philip Davies: ‘The latest in a long line of arbitrary, unnecessary, socialist measures.’

The Covid passport rebels in their own words 👇

https://t.co/RhN6pb5Y7E",christian restrictions conflicting damaging support plan philip davies line arbitrary unnecessary socialist measures passport rebels own words
90,"1 in 4 Black men will get prostate cancer in their lifetime. Black men are less likely to get tested for an STI

This isn't just about Covid. Testing hesitancy is a HUGE issue in our community. The rise of Black conspiracy bro content since Covid is only making that worse https://t.co/0IUMHnioaG",1 4 black prostate cancer lifetime black tested testing hesitancy huge issue community rise black conspiracy content worse
91,@mattletiss7 Could it be for a Public Information film as I know people have died and are suffering with long Covid and are Tottenham players and staff acting,public information film people died suffering players staff acting
92,"Could the man who crippled the UK with Brexit, killed thousands by his mismanagement of Covid, finally be undone by a Christmas party and refurbishing his flat?",crippled uk killed thousands mismanagement finally undone christmas party refurbishing flat
93,"@gregggonsalves Here a very good opinion on the StarTribune @StribOpinion 

Should we just send a COVID test to every American? Uh, yeah ...
That's what we do in advanced nations like Britain. 

https://t.co/YCSo8yOcQn",opinion send test american yeah advanced nations britain
94,TIL that every resident of Colorado can get up to eight free rapid Covid tests delivered per week (application online). Why isn't the entire country doing this?? https://t.co/ErGyfzvrvJ,resident colorado eight free rapid tests delivered week application online entire country doing
95,"Scientific experts are warning that there could be 75,000 deaths from Omicron strain COVID in England by next April.

I’m sure virologist Jeff Stelling will be along soon to castigate them for using such inflammatory language &amp; scare tactics.",scientific experts warning deaths omicron strain england april virologist soon castigate using inflammatory language amp scare tactics
96,More Americans have died due to “COVID” under Biden than under Trump. Where’s that scoreboard @CNN?,americans died due trump scoreboard
97,"Omicron could cause 75,000 deaths in England by end of April, say scientists https://t.co/pxy7qRynWp",omicron cause deaths england april scientists
98,"63-year-old William Hartmann –who spread lies and conspiracy theories about the election via his Facebook page– succumbed to the coronavirus on Nov. 30 in a hospital in Wyandotte, Michigan. https://t.co/g1LGwMPFet",spread lies conspiracy theories election page succumbed nov 30 hospital michigan
99,"I can't prove it, but walking through grocery store aisles, I can't help but see that black Americans are more reluctant to remove the masks than whites. They were told early on that they had more reason to fear covid, but statistics don't seem to bear that out. Another lie?",ca prove walking grocery store aisles ca help black americans reluctant remove masks whites told reason fear statistics bear lie
100,"@Hmrivera76 @dbongino 🤣🤣🤣 I would be glad to debate with you, but you have to debate facts only.  I have one question for you….when is joe going to unveil is cure for COVID?  He told everyone he had this but since he took office the numbers have exploded!!!  He can’t take credit for the vaccine",glad debate debate question unveil cure told office exploded ca credit vaccine
101,"All #WannaOne Members Test Negative For COVID-19 + #2021MAMA Pre-Recording Rescheduled
https://t.co/N9O9fUce33 https://t.co/VCW3NdnQrL",test negative rescheduled
102,"SHOCKING: Crisis actor admits playing the part of a patient struggling with COVID-19.

She shows her contract detailing her role, which details she has to pretend she is short of breath. https://t.co/wmUjeqLaq3",shocking crisis actor admits playing patient struggling contract detailing role details pretend short breath
103,"Discriminating vaccinated &amp; unvaccinated people is misguided. This Israeli study (5.7M people) shows survivors, people who had covid and recovered, have 6x better protection than vaccinated people after 6-8 months. ~1/3 of population is survivor (US 100M+)
https://t.co/b7sdG3FZux https://t.co/5wtbcer2p6",discriminating vaccinated amp unvaccinated people misguided israeli study people survivors people recovered protection vaccinated people months 1 3 population survivor
104,"""Toronto Public Health advises 19,800 Raptors fans to self-monitor for COVID symptoms""

Vaccine passports do what again? 🤔
https://t.co/5arC2faDpY",toronto public health advises raptors fans symptoms vaccine passports
105,"@EndGameWW3 Also points out that 14% of the people previously had covid too. Smaller number, but most people think if they had it then they can't get it again.",14 people previously people ca
106,"I am astonished there is no discussion in the US of  why Nigeria, Africa's most populous  nation, has only 14 Covid deaths/million, while US has 2,442?

Perhaps an open-minded scientific analysis of this discrepancy  will reveal what  is  wrong with the American Covid strategy.",am astonished discussion nigeria africa populous nation 14 deaths million open-minded scientific analysis discrepancy reveal wrong american strategy
108,"@JenStojanovich Or my cousin Jackie “yeah something about the vaccine doesn’t seem right”. That’s why she’s not vaccinated. She has an eight month old, and had covid while pregnant. She absolutely is going everywhere and living her best life, unmasked and unbothered.",cousin yeah vaccine vaccinated eight month pregnant absolutely living life unmasked
109,"Study space is open as normal at St Marys, Martyrs Kirk, J F Allen and the Gateway. The Main Library is open for Library help, IT support, and browse and borrow access to collections. Read more (link to https://t.co/OChRTA24Bc) https://t.co/WY6CNrPSDu",study space normal marys martyrs kirk allen gateway main library library help support browse borrow access collections read link
111,"@SongezoZibi I have made a conscious decision that I do not want unvaccinated in my house. I am chronic and unfortunately, I will not survive COVID 19.",conscious decision unvaccinated house am chronic unfortunately survive 19
112,"actually blowssssssss my fucking mind that this country had a year and half to get its shit together with COVID. 2 years and variants later - hospitals are once again at max capacity, HCWs are overworked and understaffed, &amp; we’re AGAIN experiencing medical supply shortages??",actually blowssssssss fucking mind country half shit 2 variants hospitals max capacity overworked understaffed amp experiencing medical supply shortages
113,My brother’s triple-jabbed - the third one was Pfizer 3-4 wks ago. He’s just got covid &amp; feels ‘rough’ &amp; is isolating. Had a Xmas meal out with a load of mates last Friday - all of them vaccinated - 17 out of 21 of them have now tested positive.,brother third ago amp feels rough amp isolating xmas meal load mates friday vaccinated 17 21 tested positive
114,"No more me pics now on coz 

I developed (among other crap) post-inflammatory vitiligo after I contracted COVID. Jan-July 2021 my back turned white &amp; slowly patches crept up my chest &amp; face. Even I wanted to, I don't have time for rx. My skin is killing itself. That's the change. https://t.co/Ie7gxCU3Fl",pics developed crap vitiligo contracted white amp slowly patches crept chest amp time skin killing change
115,Boosters give up to 75 percent protection from mild Omicron: UK https://t.co/fD4DQ8uoHT via @AJEnglish,boosters 75 percent protection mild omicron uk
118,"he picked me up everytime i asked him to, except when he has covid. true love is fake.",picked except true love fake
119,"Covid-19: Belgian court declares mandatory use of vaccination passport illegal, imposes fine of EUR 5,000 per day https://t.co/j1p7VthMwp",belgian court declares mandatory vaccination passport illegal imposes fine day
120,"@Nidhi Right. You should also have condemned the vulture journalism, who set up their propaganda office infront of funeral pyre amidst COVID pandemic.",condemned vulture journalism set propaganda office funeral pyre pandemic
121,"Scoop: Andrew Cuomo's top aide Melissa DeRosa and Chris Cuomo discussed with allies ways to discredit Fox News' @JaniceDean over her criticism of the way the then governor handled nursing homes during the Covid-19 pandemic, sources tell me. 
 https://t.co/hjWTcETvuK",scoop andrew top aide melissa discussed allies discredit fox news criticism governor handled nursing homes pandemic sources tell
123,Covid (is) thee biggest hoax that's ever been perpetuated on the American people,biggest hoax perpetuated american people
124,"… Like Nazi Germany, the collective guilt from society forcing the diabolical atrocity of the lethal Covid injections on others will divide and destroy generations.",nazi germany collective guilt society forcing diabolical atrocity lethal injections divide destroy generations
125,"@KrutikaKuppalli but do vaccines really stop long covid, because technically when one is vaccinated they catch covid, they just defeat it easier... so they could also suffer from long covid...

just a small question...",vaccines stop technically vaccinated catch defeat easier suffer question
126,"The fact that airline travel is not especially dangerous for COVID spread tells us good indoor ventilation is the key.

Is there a consumer device that can continuously measure ventilation quality indoors?",airline travel especially dangerous spread tells indoor ventilation key consumer device continuously measure ventilation quality indoors
127,The “doctors” and hospitals who helped erase the line between dying FROM Covid and dying WITH Covid should all lose their licenses and be subject to fines/imprisonment.,doctors hospitals helped erase line dying dying lose licenses subject fines imprisonment
128,"Jingle Ball NYC 2021 Has COVID Scare, Lil Nas X Sidelined https://t.co/UtvqNOA6gD",jingle ball scare nas sidelined
129,@macjudith Sigh back at you. #covid is a treacherous foe.,sigh treacherous foe
130,We live in a world where Covid has become the ultimate threat and control and vaccines are seen as the ultimate saviours.,live world ultimate threat control vaccines seen ultimate saviours
131,"Mental health has become its own pandemic during Covid, with soaring rates of anxiety, depression and burnout. Psychologists say both resilience and the ability to grow from adversity can be cultivated. Here are four ways to get started. https://t.co/0e6BF03HkF",mental health own pandemic soaring rates anxiety depression psychologists resilience ability grow adversity cultivated started
132,@TheLiberalPoet There's not even one that I know of for COVID and given how Trump was flubbing that up from the beginning there should have been if they really cared about the people but apparently not.,trump flubbing beginning cared people apparently
133,"#SilambarasanTR has been hospitalised in Chennai, due to a viral infection. It's not Covid related! 

Wishing #STR a safe, speedy recovery 👍 @SilambarasanTR_",hospitalised chennai due viral infection related wishing safe speedy recovery
134,"I don't know who could have seen this coming, but the CEO of Pfizer is now saying that people might now need FOUR Covid shots in order to be protected from the virus.  I know....it is shocking.",seen coming ceo saying people shots protected virus shocking
135,"Myth, misconception hampering Covid-19 vaccination in Kogi — Stakeholders https://t.co/b5Xw2Mutxs https://t.co/sPWaMGUFw5",myth misconception hampering vaccination stakeholders
136,"COVID makes a lot more sense if you mentally substitute the word ""stupidity"" in for ""caution"" every time you see or hear ""abundance of caution.""",makes lot sense mentally substitute word stupidity caution time hear abundance caution
137,"Wonderful diversion ""press frenzy"". We need to know if the government are a load of scheissters unfit to run a pandemic &amp; hiw far we can trust their usually compromised advice on COVID. It's crucial to know this ahead of their new compromised advice on omicron. @BBCRadio4  #bbcaq",wonderful diversion press frenzy government load unfit run pandemic amp trust usually compromised advice crucial ahead compromised advice omicron
138,Pre Covid was wild https://t.co/dhBzGGw6Fd,wild
